latitude_deg,longitude_deg,STATE,IATA
40.82490158,-115.7919998,Nevada,EKO
58.35499954,-134.576004,Alaska,JNU
41.26369858,-72.88680267,Connecticut,HVN
38.66210175,-90.65200043,Missouri,SUS
42.23789978,-83.53040314,Michigan,YIP
40.79940033,-74.41490173,New Jersey,MMU
45.19440079,-123.1360016,Oregon,
42.66550064,-83.42009735,Michigan,PTK
38.66759872,-121.401001,California,MCC
33.922798,-118.334999,California,HHR
42.114222,-87.901494,Illinois,PWK
36.8932991,-121.4100037,California,HLI
42.19049835,-71.17289734,Massachusetts,OWD
27.18169975,-80.22109985,Florida,SUA
39.84410095,-89.67790222,Illinois,SPI
42.20869827,-75.97979736,New York,BGM
32.5163002,-84.93890381,Georgia,CSG
48.25939941,-101.2799988,North Dakota,MOT
42.157799,-72.715599,Massachusetts,BAF
28.51479912,-80.79920197,Florida,TIX
46.39830017,-94.13809967,Minnesota,BRD
41.90779877,-88.24859619,Illinois,DPA
26.58659935,-81.86329651,Florida,FMY
33.81169891,-78.72389984,South Carolina,CRE
39.07839966,-84.21019745,Ohio,
33.20069885,-97.19799805,Texas,
30.40010071,-86.47149658,Florida,DSI
40.451804,-105.011,Colorado,FNL
30.67880058,-97.67939758,Texas,
26.78499985,-80.69339752,Florida,PHK
27.07159996,-82.44029999,Florida,VNC
33.9888,-98.491898,Texas,SPS
32.33750153,-104.2630005,New Mexico,CNM
44.86579895,-91.48429871,Wisconsin,EAU
43.62609863,-72.30419922,New Hampshire,LEB
41.12620163,-100.6839981,Nebraska,LBF
38.79100037,-97.65219879,Kansas,SLN
39.813801,-82.927803,Ohio,LCK
44.93450165,-93.05999756,Minnesota,STP
39.12599945,-123.2009964,California,UKI
44.45000076,-68.3615036,Maine,BHB
38.22800064,-85.66369629,Kentucky,LOU
48.16070175,-122.1589966,Washington,
30.21899986,-96.3742981,Texas,
34.086102,-118.035004,California,EMT
42.62030029,-89.04160309,Wisconsin,JVL
29.4674,-81.206299,Florida,
36.31869888,-119.3929977,California,VIS
43.53290176,-84.07959747,Michigan,MBS
42.402599,-96.384399,Iowa,SUX
34.47800064,-93.09619904,Arkansas,HOT
32.38399887,-94.71150208,Texas,GGG
48.3105011,-114.2559967,Montana,FCA
46.9693985,-122.9029999,Washington,OLM
36.96450043,-86.41970062,Kentucky,BWG
30.351801,-95.414497,Texas,CXO
47.49020004,-122.7649994,Washington,PWT
42.71720123,-71.12339783,Massachusetts,LWM
40.21920013,-111.7229996,Utah,PVU
34.57529831,-117.185997,California,APV
41.16809845,-71.57779694,Rhode Island,BID
28.47360039,-82.45539856,Florida,
34.09159851,-117.7819977,California,POC
38.99060059,-122.901001,California,CKE
33.21730042,-117.3539963,California,OCN
38.19340134,-121.7040024,California,
30.20529938,-91.98760223,Louisiana,LFT
31.32740021,-92.54979706,Louisiana,AEX
40.978101,-124.109,California,ACV
38.8181,-92.219597,Missouri,COU
40.27590179,-79.40480042,Pennsylvania,LBE
37.3266983,-79.20040131,Virginia,LYH
33.301601,-104.530998,New Mexico,ROW
32.98759842,-97.31880188,Texas,AFW
40.35440063,-79.93019867,Pennsylvania,AGC
46.35359955,-87.395401,Michigan,MQT
43.20270157,-71.50229645,New Hampshire,CON
34.84790039,-82.34999847,South Carolina,GMU
40.081902,-75.010597,Pennsylvania,PNE
46.7439,-117.110001,Washington,PUW
36.03960037,-95.98459625,Oklahoma,RVS
39.00849915,-74.90830231,New Jersey,WWD
35.14519882,-106.7949982,New Mexico,
35.947498,-114.861,Nevada,BLD
41.37149811,-73.48220062,Connecticut,DXR
33.73400116,-117.0230026,California,HMT
45.145,-93.211401,Minnesota,
37.23920059,-76.7161026,Virginia,
42.40200043,-90.70950317,Iowa,DBQ
40.96749878,-98.30960083,Nebraska,GRI
42.156101,-121.733002,Oregon,LMT
32.33259964,-88.75189972,Mississippi,MEI
44.38270187,-100.2860031,South Dakota,PIR
40.37850189,-75.96520233,Pennsylvania,RDG
38.34049988,-75.51029968,Maryland,SBY
41.26070023,-80.67910004,Ohio,YNG
34.85369873,-116.7870026,California,DAG
29.6072998,-95.15879822,Texas,EFD
37.28469849,-120.5139999,California,MCE
29.33699989,-98.47109985,Texas,SSF
34.09540176,-117.2350006,California,SBD
39.06869888,-95.62249756,Kansas,TOP
42.22299957,-83.74559784,Michigan,ARB
26.37849998,-80.10769653,Florida,BCT
33.25899887,-116.3209991,California,BXS
33.177898,-96.5905,Texas,
43.77119827,-88.48840332,Wisconsin,FLD
40.1637001,-105.163002,Colorado,
37.51089859,-120.0400009,California,RMY
38.75500107,-109.7549973,Utah,CNY
35.10139847,-120.6220016,California,
34.25680161,-111.3389969,Arizona,PJB
39.51639938,-122.2180023,California,WLW
29.95079994,-94.02069855,Texas,BPT
39.14099884,-96.67079926,Kansas,MHK
44.2541008,-121.1500015,Oregon,RDM
39.67869949,-75.60649872,Delaware,ILG
44.68840027,-111.1179962,Montana,WYS
46.15800095,-123.8789978,Oregon,AST
45.24710083,-122.7699966,Oregon,
47.77429962,-116.8199997,Idaho,COE
41.01350021,-83.66870117,Ohio,FDY
28.82309914,-81.80870056,Florida,LEE
29.8927,-97.862999,Texas,
40.71870041,-114.0309982,Utah,ENV
32.66389847,-97.09429932,Texas,
44.09479904,-121.2009964,Oregon,
32.70090103,-80.00289917,South Carolina,
33.89770126,-117.6019974,California,
25.995001,-81.672501,Florida,MRK
35.05939865,-118.1520004,California,MHV
33.0392,-116.915001,California,
45.77099991,-122.8619995,Oregon,
40.028167,-124.074305,California,
27.7651,-82.626999,Florida,SPG
45.41820145,-123.814003,Oregon,OTK
